file,skeleton_variant,deviation_reason,h3_logic,motivation_pattern,contribution_form,formula_style,table_types,pros_themes,transferable,category,date,chars,n_h3,n_img,n_math,n_pros,h2_seq
13-imbalanced-ensemble-learning-leveraging-data-level.md,标准,-,按模块,综述式铺陈,散文整段,三段式完整,无表,计算效率+重采样不平衡,Y：提指标→当优化目标→用 Pearson 自证有效，可迁为「新 IoU 度量→分配采样目标→与 mAP 相关性验证」,不平衡学习,2024-09-28,3692,8,21,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
14-multi-class-imbalance-problem-multi-objective-solution.md,尾部分析节,多目标近似性需命题与证明，单列「理论分析」置于方法后实验前,按定义-结构-变体,综述式铺陈（附权衡示意图）,散文整段,三段式完整,无表,理论证明+鲁棒泛化,Y：方法→理论分析(命题+证明，长证明只给流程)→实验 的插节法，适合 loss 收敛性/标签分配笔记,不平衡学习,2024-09-01,3135,7,19,0,3,研究动机 > 文章贡献 > 本文方法 > 理论分析 > 实验结果 > 优点和创新点
15-dynamic-ensemble-selection-multi-class-imbalanced.md,标准,-,按流程步骤,综述式铺陈,散文整段,缺其中解释,无表,重采样不平衡+鲁棒泛化,Y：候选池生成+按样本邻域局部挑选，正是检测中多专家 head 动态路由的同类写法,不平衡学习,2024-09-29,2506,7,9,0,2,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
16-mixed-bagging-ensemble-learning-framework.md,标准,-,按定义-结构-变体,其他（极简两句直给，无铺垫无转折）,散文整段,三段式完整,组件对应表+消融变体表,鲁棒泛化+重采样不平衡,"Y：把新框架写成旧框架的特例(MR=[0,1,0] 即退化 Bagging)，可说明某模块是经典结构的泛化",不平衡学习,2024-10-30,1847,5,7,0,2,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
17-deep-balanced-cascade-forest-fault.md,标准,-,混合（方法按模块，实验按对比对象族分节）,综述式铺陈（数据级→算法级→gcForest 逐层收窄）,散文整段,三段式完整,无表（表均为截图）,重采样不平衡+特征工程,Y，「数据级/算法级两类方法逐个点评」的动机套路可换成「anchor-based/anchor-free 两类检测器逐个点评」,不平衡学习,2024-09-30,2153,8,13,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
18-multi-class-imbalance-classification-data-distribution.md,多H2拆分,方法段过长，拆为「基于样本权重的数据分布/自适应样本权重/AdaBoost.AD」三个具名 H2，无「本文方法」标题,按流程步骤（类间→类内→合并→自适应→算法→理论分析）,综述式铺陈,散文整段,三段式完整（公式编号(1)-(17)，铺垫+公式+其中解释）,方法对比表+消融变体表,理论证明+实验充分,Y，「先静态因子再自适应因子」的递进拆解可迁移到 YOLO 损失函数/标签分配的逐项拆解,不平衡学习,2024-10-25,4083,10,29,0,2,研究动机 > 文章贡献 > 基于样本权重的数据分布 > 自适应样本权重 > 基于自适应分布的样本权重的 Adaboost > 实验结果 > 优点和创新点
19-combined-cleaning-resampling-algorithm-multi-class.md,方法名替换H2,「本文方法」被方法名「MC-CCR 多类联合清洗和重采样算法」直接替换,混合（方法按二分类→多分类递进，实验按实验类型分节）,综述式铺陈,散文整段,三段式完整,无表（表均为截图）,重采样不平衡+鲁棒泛化,Y，「先清洗再重采样」两阶段叙事正好对应检测中的「先难例挖掘、再正负样本分配」,不平衡学习,2024-10-29,2798,6,12,0,3,研究动机 > 文章贡献 > MC-CCR 多类联合清洗和重采样算法 > 实验结果 > 优点和创新点
20-random-balance-ensembles-multiclass-imbalance.md,方法名替换H2,「本文方法」被内容名「多分类的随机平衡集成」替换,按定义-结构-变体（二分类 RandBal 定义→MultiRandBal→OVO/OVA-RandBal）,综述式铺陈,散文整段,无公式,无表（表均为截图）,重采样不平衡+实验充分,Y，「二分类→多分类扩展」的写法可映射为「单尺度→多尺度、单类→多类检测」,不平衡学习,2024-10-29,1869,8,11,0,2,研究动机 > 文章贡献 > 多分类的随机平衡集成 > 实验结果 > 优点和创新点
21-relating-instance-hardness-classifcation-performance.md,预备知识插入,「实例空间分析」是通用前置框架而非本文贡献，单列 H2 先行铺垫，再写「单个数据集的 ISA」,混合（方法按框架组件+流程步骤，实验按三个案例分节）,综述式铺陈,散文整段,三段式完整,组件对应表（ASP/ISA 组件表、足迹度量表）,可解释性+实验充分,Y，实例硬度+二维可视化是检测结果误检/漏检归因的现成模板，可直接用于难样本分析,不平衡学习,2024-11-28,11811,10,39,0,4,研究动机 > 文章贡献 > 实例空间分析 > 单个数据集的 ISA > 实验结果 > 优点和创新点
22-mdgp-forest-deep-forest-multi-class-imbalanced.md,其他,尾部 H2 由「优点和创新点」改为「创新点」，并改用「本文的主要贡献如下」分点列举，且实验节析出独立「调参实验」,按模块（框架/多类降解与重采样/类相关 GP 特征构造）,综述式铺陈,散文整段（尾部创新点节改用分点）,三段式完整（弱化公式编号，统一「如下公式所示。其中…」）,消融变体表+组件对应表,特征工程+实验充分,Y，「动机铺垫+公式+其中解释」与消融变体表可原样套用到 YOLO 各模块的消融,不平衡学习,2025-09-18,5335,8,23,0,0,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 创新点
01-drag-your-gan-interactive-point-based.md,尾部分析节,实验结果后附「进一步讨论」（掩码效果/分布外操作/局限性/社会影响），为视觉论文特有,按流程步骤（交互式操作→运动监督→点跟踪）,编号列表逐个点评（先列 3 条理想特性，再列 2 条本文挑战）,散文整段,三段式完整,无表（表均为截图）,可微端到端+计算效率,Y，「定性效果组图先行→定量表佐证→局限性讨论」正是检测类笔记应有的实验节结构,计算机视觉,2023-10-17,4032,7,20,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
02-neural-prototype-trees-interpretable-fine-grained.md,预备知识插入,原型学习/ProtoPNet/软决策树三个前置概念陌生，在贡献与方法之间插入「## 预备知识」,按定义-结构-变体（结构→训练→原型可视化→确定性推理）,综述式铺陈,散文整段,三段式完整（全篇唯一用 LaTeX $$ 代码块而非公式截图）,组件对应表（树结构组件/可训练参数/初始化操作共 3 张）,可解释性+计算效率,Y，「预备知识先行+组件对照表+公式」的写法可直接用于 YOLO 骨干/颈部/头部拆解,计算机视觉,2025-11-08,4468,9,12,107,4,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
01-neural-random-subspace.md,方法名替换H2,方法节与实验节均用具名H2,按模块,综述式铺陈,散文整段,无公式,符号表+组件对应表,计算效率/实验充分,Y，可插拔CNN模块，自带CV实验,神经网络,2023-03-14,3706,11,22,0,4,研究动机 > 文章贡献 > 神经随机子空间算法 > 实验分析 > 优点和创新点
02-t2g-former-organizing-tabular-features-into.md,多H2拆分,方法节拆为两个并列H2／混合,两列表（现有方法,局限性）,散文整段,三段式完整,符号表+方法对比表+消融变体表,可解释性/稀疏结构,Y，图交互换为类别关系图,神经网络,2026-04-01,4071,10,10,53,2,研究动机 > 文章贡献 > 图估计器 > T2G-FORMER > 实验结果 > 优点和创新点
03-protogate-prototype-based-neural-networks-global-to-local.md,预备知识插入,插「预备知识：可微排序」,按流程步骤,编号列表逐个点评,散文整段,无公式,方法对比表+消融变体表,可解释性/稀疏结构,Y，适配需铺垫可微NMS的论文,神经网络,2025-11-27,5748,7,25,4,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
04-tabnet-attentive-interpretable-tabular-learning.md,预备知识插入,插「预备知识」讲Sparsemax与GLU,混合（定义-结构-变体+按模块）,综述式铺陈,散文整段,三段式完整,组件对应表+符号表+方法对比表,可解释性/稀疏结构,Y，是写CIoU/NMS铺垫段模板,神经网络,2025-11-04,7294,9,17,114,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
05-tabm-advancing-tabular-deep-learning.md,尾部分析节,末尾加「集成分析」H2,按定义-结构-变体,编号列表逐个点评,散文整段,三段式完整,符号表+方法对比表+消融变体表,计算效率/实验充分,Y，演进路径表即逐级消融表,神经网络,2026-03-16,5104,14,9,146,4,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 集成分析 > 优点和创新点
06-tabr-tabular-deep-learning-meets.md,尾部分析节,实验节改名+加「扩展分析」,按流程步骤,综述式铺陈,散文整段,三段式完整,符号表+方法对比表,计算效率/实验充分,Y，Step-0→4增量消融模板,神经网络,2026-03-18,3599,8,11,61,3,研究动机 > 文章贡献 > 本文方法 > 实验数据 > 扩展分析 > 优点和创新点
07-high-dimensional-tabular-deep-learning.md,标准,-,按流程步骤,综述式铺陈,散文整段,三段式完整,符号表+方法对比表+消融变体表,鲁棒泛化/特征工程,Y，问题设定→归纳偏置→消融变体表,神经网络,2026-04-10,3905,9,10,102,2,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
08-tab-pet-graph-based-positional-encodings-tabular.md,预备知识插入,方法前插「预备知识」+「理论基础」两个H2，后者含定理1/2与备注,按流程步骤,综述式铺陈,散文整段,三段式完整,组件对应表+方法对比表,理论证明/实验充分,Y，图结构位置编码↔2D空间编码/锚框图，有效秩理论↔mAP与特征秩关联分析,神经网络,2026-04-15,6240,9,9,96,2,研究动机 > 文章贡献 > 预备知识 > 理论基础 > 本文方法 > 实验结果 > 优点和创新点
09-dual-channel-attention-autoencoder-tabular-graph-fusion.md,方法名替换H2,方法节H2改为「基于注意力机制和自编码器的多模态模型」／按模块,其他（两列「数据类型,说明」背景表+综述铺陈）,散文整段,三段式完整,组件对应表+符号表+方法对比表,可微端到端/实验充分,Y，表格+分子图双通道↔RGB+红外双模态，跨模态对齐自编码器↔特征金字塔对齐,神经网络,2026-04-17,4174,11,12,46,3,研究动机 > 文章贡献 > 基于注意力机制和自编码器的多模态模型 > 实验结果 > 优点和创新点
10-graph-enhanced-monotonic-embeddings-approach-tabular.md,标准,-,混合（问题定义+按特征类型分治的模块）,综述式铺陈,散文整段,三段式完整,组件对应表+符号表,特征工程/可解释性,Y，区间离散化建KG三元组↔尺度/长宽比分桶建图，TransE↔query-object关系嵌入,神经网络,2026-04-18,4422,11,14,75,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
11-heterogeneous-feature-aware-graph-neural-network.md,标准,-,按流程步骤,综述式铺陈,散文整段,三段式完整,符号表+组件对应表,特征工程/稀疏结构,Y，异质列特征图↔检测框异质关系图(RelationNet)，六类关系↔框-框/框-类/类-类；OPLE↔坐标周期编码,神经网络,2026-04-24,3666,7,4,84,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
12-tabularnet-neural-network-architecture-understanding.md,标准,-,按模块,综述式铺陈,散文整段,三段式完整,组件对应表+方法对比表+消融变体表,理论统一等价/实验充分,Y，矩阵+图双表示↔CNN特征图+框关系图双分支，WordNet图↔COCO类别层级图；其消融变体表可直接套用,神经网络,2026-04-26,3947,9,9,31,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
13-table2graph-transforming-tabular-data-unifed.md,标准,-／按流程步骤,两列表（现有方法,局限性）,散文整段,三段式完整,方法对比表+组件对应表,可微端到端/稀疏结构,Y，统一概率邻接矩阵↔类别共现/标签关系图(ML-GCN)，RL+稀疏约束↔NMS后处理关系建模,神经网络,2026-04-27,3581,10,6,83,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
14-deep-tabular-data-modeling-dual-routestructure-adaptive.md,预备知识插入,方法前插「预备知识」讲FM与MPNN／混合（定义铺垫+流程+表达能力分析）,两列表（现有方法,局限性）,散文整段,三段式完整,组件对应表+符号表+方法对比表,理论统一等价/稀疏结构,Y，Top-K稀疏图↔Deformable DETR采样K点，双路由(拓扑/特征)↔几何路由+外观路由；退化证明↔「退化为标准卷积」,神经网络,2026-05-04,4952,14,10,95,3,论文概况 > 研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
01-deep-forest-auto-encoder-resource-centric-attributes.md,标准,-,按模块,综述式铺陈,散文整段,三段式完整（铺垫+公式图+符号表）,组件对应表+符号表,特征工程/鲁棒泛化,Y，四组件表可换为 Backbone-Neck-Head-Loss 对照表，消融+调参双子节可换为 mAP/AP50 消融与输入尺度敏感性,图学习,2024-09-18,3354,10,20,0,2,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
02-cooperative-graph-neural-networks.md,预备知识插入,离散动作采样需 Gumbel-softmax 铺垫，且论文有大段理论分析故在方法后单列 H2「理论分析」,混合（预备知识按前置概念、方法按模块、理论按问题）,综述式铺陈,散文整段,缺其中解释（铺垫+公式图后直接转下节，无符号表无其中句）,组件对应表,理论证明/可微端到端,Y，动机用加粗术语枚举经典缺陷（过平滑/过压缩）可换为小目标漏检/NMS 缺陷，理论结论独立成节的写法可平移为 mAP 上界分析节,图学习,2024-10-23,3278,9,13,0,0,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 理论分析 > 实验结果 > 优点和创新点
03-graph-neural-networks-tabular-data.md,survey重写,综述无自有方法与实验，改为分类体系→逐阶段综述→应用领域→局限与未来方向，且省略优点节,按定义-结构-变体（预备知识定义+分类体系逐类展开）,编号列表逐个点评（5 条加粗 RQ）,散文整段,三段式完整,符号表+组件对应表+方法对比表,理论统一等价/计算效率,Y，RQ 列表+四阶段分类体系+局限展望可直接写无人机小目标检测综述（图表征→特征融合→检测头→训练策略）,图学习,2026-03-23,10035,16,9,39,0,研究动机 > 文章贡献 > 预备知识 > 流程框架与分类体系 > 图表征 > 图构建 > 表征学习 > 训练方案 > 应用领域 > 局限与未来方向
04-lunar-unifying-local-outlier-detection.md,预备知识插入,统一性 claim 需同时形式化 KNN/LOF 与 GNN 消息传递两套前置体系,混合（预备知识与方法按定义+流程，实验按任务）,编号列表逐个点评（加粗缺陷条目）,散文整段,三段式完整（铺垫+$$+其中句+符号表）,符号表+组件对应表+方法对比表,理论统一等价/可微端到端,Y，「经典方法统一到单一框架+逐步对应关系表」可换为 Anchor 匹配策略统一到分配框架，超参 k 鲁棒性曲线可换为 IoU 阈值/NMS 阈值敏感性曲线,图学习,2026-03-24,4760,10,6,116,2,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
05-unsupervised-deep-graph-structure-learning.md,标准,-,按流程步骤（图学习器→后处理→对比学习→自举→训练，照搬流水线）,编号列表逐个点评（3 条加粗问题）,散文整段,三段式完整（铺垫+$$+其中句）,组件对应表+方法对比表,可微端到端/鲁棒泛化,Y，缺陷三段论+逐模块公式+消融/敏感性/鲁棒性/可视化四连实验，是视觉论文可直接复用的完整模板,图学习,2026-04-02,5057,11,12,91,2,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
06-autog-automatic-graph-construction-tabular.md,预备知识插入+多H2拆分,预备知识改名「基本概念」做问题形式化，且把贡献之一的「数据集设计」从实验中拆出单列 H2,混合（概念节按定义、方法节按流程）,编号列表逐个点评（2 条编号+核心目标段）,散文整段,无公式（仅表内行内符号与伪公式）,符号表+组件对应表+方法对比表+消融变体表,特征工程/实验充分,Y，先形式化四大挑战 C1-C4 再建基准的写法适用于数据/评测类视觉论文；LLM 离散操作分解可类比自动数据增强策略搜索,图学习,2026-04-14,5233,12,5,28,3,研究动机 > 文章贡献 > 基本概念 > 用于评估图构建的数据集设计 > 本文方法 > 实验结果 > 优点和创新点
07-edge-updating-graph-neural-networks-modeling.md,标准,-／按模块（图构建/模型架构）,综述式铺陈，内含「挑战,说明」两列表,散文整段,三段式完整,符号表+方法对比表,特征工程+鲁棒泛化,Y，全连接图构建/边更新/残差的「模块拆解→消融→参数与结构分析」骨架可直套 YOLO 的 neck-head 拆解，指标换 mAP/AP50+FPS 即可,图学习,2026-04-19,3008,10,11,25,2,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
08-cross-feature-interactive-tabular-data-modeling.md,预备知识插入,GNN 消息传递是理论底座，故在贡献与方法之间插入「预备知识」H2,混合：H3 按模块，模块内按「第一步/第二步/第三步」流程,编号列表逐个点评（两大挑战各展开一段）,散文整段,三段式完整,符号表+组件对应表+方法对比表+消融变体表,可解释性+特征工程,Y，「手工先验路+数据驱动路」的双路拆解正对应检测器「手工 anchor/先验 + 可学习标签分配」，相关性矩阵可视化对应 CAM/注意力图,图学习,2026-04-20,4800,11,11,93,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
09-analysis-tabular-data-graph-neural.md,标准,-／按流程步骤（获取相似性图→稀疏化→监督对比训练），末节「方法优势与解释」,两列表（现有方法,局限性，兼收优缺点）,散文整段,三段式完整,符号表+方法对比表,鲁棒泛化+特征工程,Y，「双视角互补」的动机表可改写为局部特征/全局上下文对比，噪声鲁棒性实验对应检测中的遮挡、小目标、恶劣天气鲁棒性,图学习,2026-04-22,3416,8,9,27,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
10-interpretable-graph-neural-networks-tabular.md,标准（实验节顺序倒置为解释性→性能→成本）,可解释性是全文主线，故把解释性评估提到预测性能评估之前／按定义-结构-变体（可解释 GNN→表格转图→架构→可解释性约束，含黑盒变体 OGNNet）／两列表（算法类型,典型工作,局限性）,散文整段,三段式完整,符号表+组件对应表,可解释性+可微端到端,Y，「内在可解释=透明输出层+贡献分+与 SHAP 对齐」的写法可迁到可解释检测与注意力归因，「解释质量→预测性能→计算成本」三段式尤适用,图学习,2026-04-25,3204,8,9,26,2,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
11-graph-neural-network-contextual-embedding.md,多H2拆分,方法后另起「交互网络分析」H2，承载参数量、对比 Transformer、特征重要性／按模块（编码器下用 H4：列嵌入/上下文嵌入）,综述式铺陈，内含「特性,说明」两列表,散文整段,三段式完整,符号表+组件对应表+方法对比表+消融变体表,理论统一等价+可解释性,Y，「与 Transformer 逐机制对比」的分析节写法可照搬为 YOLO vs DETR/RT-DETR 的机制对比，特征重要性可视化对应检测分支贡献分析,图学习,2026-04-30,4462,12,11,91,3,论文概况 > 研究动机 > 文章贡献 > 本文方法 > 交互网络分析 > 实验结果 > 优点和创新点
01-nbdt-neural-backed-decision-trees.md,标准（实验末节为「可解释性」H3，下含 4 个 H4）,可解释性验证自成一节置于实验末尾，用问卷与可视化当证据,按流程步骤（推理→建立层次结构→WordNet 标记→微调与树监督损失）,综述式铺陈（显著性图 vs 顺序决策两条路线对举）,散文整段,无公式（公式均为原文图片，正文用文字转述）,无表（结果表均为图片）,可解释性+实验充分,Y，本身即 CV 论文，「骨干网络+可解释决策头」的两段拆解与 YOLO 骨干/检测头同构；用户调查+决策路径可视化的可解释证据组织法可直接照搬,神经决策模型,2023-08-10,3770,6,18,0,4,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
02-adaptive-neural-trees.md,方法名替换H2,H2 由「本文方法」改为模型名「自适应神经树」,混合（拓扑与操作定义→概率模型与推理→优化）,综述式铺陈（NN 与 DT 优缺点对举）,散文整段,三段式完整（公式以图片呈现，配符号表）,符号表+组件对应表,可微端到端+鲁棒泛化,Y，Routers/Transformers/Solvers 三模块定义套路可迁移为检测器「骨干-颈部-检测头」三段拆分，生长策略消融对应 neck/head 配置消融,神经决策模型,2023-05-27,2810,8,17,0,3,研究动机 > 文章贡献 > 自适应神经树 > 实验结果 > 优点和创新点
03-gradient-boosted-neural-decision-forest.md,标准,-,按模块,综述式铺陈,散文整段,三段式完整,符号表,可微端到端/实验充分,Y，CAE 嵌入层处理一维二维输入↔无人机多源图像骨干，调参+消融范式可直接换 mAP@0.5 与检测头消融,神经决策模型,2023-05-31,3459,8,36,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
04-survey-neural-trees-co-evolving-neural.md,survey重写,综述无单一方法，H2 改为动机/非混合/半混合/混合/分析与展望／按定义-结构-变体,两列表（现有方法,局限性）,其他（无贡献节）,三段式完整,组件对应表+符号表+方法对比表,可解释性/理论统一等价,Y，分类体系与「优势…局限在于…」对照句可直接套写 YOLO 变体/小目标检测综述,神经决策模型,2025-11-05,7033,12,7,39,0,神经树的研究动机 > 非混合：神经网络与决策树协作方法 > 半混合：利用类别层次结构的神经网络 > 混合：神经决策树 > 分析与展望
05-dofen-deep-oblivious-forest-ensemble.md,预备知识插入,方法前插「预备知识」(ODT+Heaviside)，方法后另起 H2「DOFEN 和 ODF 的对应关系的理解」做等价性对照,混合,综述式铺陈,散文整段,三段式完整,方法对比表+符号表,稀疏结构/鲁棒泛化,Y，稀疏列选择↔检测稀疏采样/通道选择，两级 Bagging↔多尺度预测集成，移除第二级集成的消融↔去 FPN/NMS 消融,神经决策模型,2025-11-11,6821,12,19,133,2,研究动机 > 文章贡献 > 预备知识 > 本文方法 > DOFEN 和 ODF 的对应关系的理解 > 实验结果 > 优点和创新点
06-ncart-neural-classification-regression-tree.md,标准,-,混合,综述式铺陈,散文整段,三段式完整,符号表+方法对比表,可微端到端/可解释性,Y，「用可微模块替换残差全连接层」的模块替换叙事↔YOLO 换 neck/head，特征重要性三层递进↔逐层归因可视化,神经决策模型,2026-03-15,3408,9,9,81,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
07-neural-oblivious-decision-ensembles-deep.md,预备知识插入,方法前插「预备知识」讲 ODT 与 Entmax 函数,按模块,综述式铺陈,散文整段,三段式完整,符号表+方法对比表,可微端到端/稀疏结构,Y，entmax 稀疏选择↔Deformable/Top-K 稀疏采样，DenseNet 式堆叠↔neck 特征复用，默认vs调参双档↔YOLO 消融换 mAP/参数量/FPS,神经决策模型,2026-03-19,3825,10,8,64,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
01-interpretable-rule-discovery-through-bilevel.md,方法名替换H2,「本文方法」拆为「Nonlinear Decision Tree」「双层优化方法」两个方法名 H2，实验节名为「实验分析」,混合,综述式铺陈,散文整段,三段式完整,无表,可解释性/稀疏结构,Y，上层搜结构下层调参↔NAS/超参与权重分离优化，规则简洁性量化 FU↔检测模型复杂度，但截图公式须改 LaTeX,决策树,2023-03-27,4237,13,30,0,4,研究动机 > 文章贡献 > Nonlinear Decision Tree > 双层优化方法 > 实验分析 > 优点和创新点
